Class-01 | Maths | Intro : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6362660621112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-59 | Maths | Probability : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6365742636112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-60 | Maths | Probability : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6365788451112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-61 | Maths | Probability : https://www.youtube.com/embed/ktBp6vqcG8w
Class-62 | Maths | Probability : https://www.youtube.com/embed/TMq8a3A2w6A
Class-63 | Maths | Probability : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6365932074112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-64 | Maths | Probability : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366050336112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-65 | Maths | Probability : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366095313112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-66 | Maths | Percentage : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366217791112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-67 | Maths | Probability : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366260857112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-68 | Maths | Percentage : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366265228112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-69 | Maths | Probability : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366275058112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-70 | Maths | Mains level Quadratic Equations : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366361712112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-71 | Maths | Percentage : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6366365139112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
