(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान के प्रमुख अनुसंधान केंद्र || 18-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058613/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-6 || राजस्थान की प्रमुख नदियाँ || 11-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1862173/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-7 || राजस्थान की प्रमुख नदियाँ || 12-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1864013/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की प्रमुख झीले || 13-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1865316/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की प्रमुख झीले || 14-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1866681/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की प्रमुख झीले || 16-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1868681/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की सिंचाई परियोजनाएँ || 17-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1869665/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की सिंचाई परियोजनाएँ || 18-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1871156/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की सिंचाई परियोजनाएँ || 19-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1872818/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की सिंचाई परियोजनाएँ || 20-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1874329/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की जलवायु || 21-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1875827/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की जलवायु || 22-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1877370/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की जलवायु || 22-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1877371/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4|| राजस्थान की जलवायु || 23-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1877842/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-5|| राजस्थान की जलवायु || 25-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1879464/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-6 || राजस्थान की जलवायु || 26-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1880454/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-7 || राजस्थान की जलवायु || 27-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1882007/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में वन संपदा || 28-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1883831/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में वन संपदा || 30-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1885751/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में वन संपदा || 30-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1885752/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान में वन संपदा || 31-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1886877/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || वन्य जीव एवं जैव विविधता || 31-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1886878/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || वन्य जीव एवं जैव विविधता || 01-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1888924/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || वन्य जीव एवं जैव विविधता || 01-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1888925/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || वन्य जीव एवं जैव विविधता || 02-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1890257/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की मृदा || 02-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1890258/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की मृदा || 03-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1891725/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की मृदा || 03-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1891726/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की मृदा || 04-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1893400/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान की मृदा || 04-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1893401/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की प्रमुख फसलें || 05-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1894870/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की प्रमुख फसलें || 05-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1894871/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की प्रमुख फसलें || 06-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1895540/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की प्रमुख फसलें || 07-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1896759/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान की प्रमुख फसलें || 08-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1898312/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में खनिज संसाधन || 09-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1899672/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में खनिज संसाधन || 16-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1902231/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में खनिज संसाधन || 17-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1903354/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान में खनिज संसाधन || 18-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1904249/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान में खनिज संसाधन || 19-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1905668/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में ऊर्जा संसाधन || 20-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1905936/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में ऊर्जा संसाधन || 21-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1907141/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में उद्योग || 22-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1908777/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में उद्योग || 23-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1910324/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में उद्योग || 24-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1911752/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की जनसंख्या || 24-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1911753/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की जनसंख्या || 22- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2028261/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की जनसंख्या || 22- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2028262/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की जनसंख्या || 23- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2029834/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान की जनसंख्या || 23- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2029836/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में परिवहन || 24- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2031343/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में परिवहन || 24- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2031344/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान में परिवहन || 26- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2032935/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान में परिवहन || 26- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2032936/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान में पर्यटन || 27- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2034562/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान में पर्यटन || 27- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2035128/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || Special MCQ || 28- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2036061/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || Special MCQ || 29- February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2037443/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || पाठ्यक्रम परिचर्चा || 09-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2010812/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || राज्य सरकारर्चा || 10-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2012271/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || राज्य सरकार || 12-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2013965/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-3 || राज्य सरकार || 14-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2017431/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-4 || राज्य सरकार || 15-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2018977/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-5 || राज्य सरकार || 16-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2020466/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-6 || राज्य सरकार || 16-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2020467/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || स्थानीय स्वशासन || 17-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2021982/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || स्थानीय स्वशासन || 17-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2021984/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-3 || स्थानीय स्वशासन || 19-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2023580/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || जिला प्रशासन || 20-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2024973/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || राजस्थान के प्रमुख आयोग || 21-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2026648/plain/720x1280.mp4
(राजस्थान का भूगोल) राजस्थान की स्थिति एवं विस्तार || नये जिलों एवं संभाग का निर्माण : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1847321/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || पाठ्यक्रम परिचर्चा || 23-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1877843/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || पाठ्यक्रम परिचर्चा || 25-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1879465/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || शैक्षिक प्रबंधन || 26-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1880455/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || शैक्षिक प्रबंधन || 27-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1882008/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || शैक्षिक प्रबंधन || 28-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1883832/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-6 || शैक्षिक प्रबंधन || 06-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1895539/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-7 || शैक्षिक प्रबंधन || 07-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1896760/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-8 || शैक्षिक प्रबंधन || 08-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1898313/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-9 || शैक्षिक प्रबंधन || 09-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1899673/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-10 || शैक्षिक प्रबंधन || 28-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1994271/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-11 || शैक्षिक प्रबंधन || 29-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1994823/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || विद्यालय प्रबंधन एवं समितियां || 30-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1996352/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || विद्यालय प्रबंधन एवं समितियां || 31-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1998110/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || विद्यालय प्रबंधन एवं समितियां || 01-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1999599/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || शिक्षण अधिगम के नवाचार || 02-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2001126/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || शिक्षण अधिगम के नवाचार || 02-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2001127/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || शिक्षण अधिगम के नवाचार || 03-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2002700/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || शिक्षण अधिगम के नवाचार || 03-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2002701/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || शिक्षण अधिगम के नवाचार || 04-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004280/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || शिक्षा का अधिकार अधिनियम 2009 || 04-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004281/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || शिक्षा का अधिकार अधिनियम 2009 || 05-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004760/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || शिक्षा का अधिकार अधिनियम 2009 || 05-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004761/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || शिक्षा का अधिकार अधिनियम 2009 || 06-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2005889/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || शिक्षा का अधिकार अधिनियम 2009 || 06-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2005890/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-1 || कल्याणकारी योजनाएँ एवं पुरस्कार || 07-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2007381/plain/720x1280.mp4
