Class - 01 | Coding Decoding | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-26-0.06806327109120902.pdf*34jpAWrBDLAlwm9B
Class - 32 | Analogy | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-13-0.64104262328687.pdf
Class - 34 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-16-0.18640468423640244.pdf
Class - 34 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-16-0.9867537005480134.pdf
Class - 35 | Classification | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.8945886642239513.pdf
Class - 35 | Classification | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.5976792737411164.pdf
Class - 36 | Sitting Arrangement | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.7429983952691468.pdf
Class - 36 | Sitting Arrangement | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.49152158123157264.pdf
Class - 37 | Counting of Figure | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-19-0.5576246974959596.pdf
Class - 37 | Counting of Figure | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-19-0.8824421455891006.pdf
Class - 38 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-23-0.6706824473317423.pdf
Class - 38 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-23-0.2460228404750735.pdf
Class - 39 | Figure Series | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-25-0.6252690966362838.pdf
Class - 39 | Figure Series | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-25-0.7908004351387882.pdf
Class - 40 | Figure Series | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-27-0.2551894602488507.pdf
Class - 01 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-26-0.8390762580352749.pdf*qub8d3W6vcPU2EOP
Class - 02 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-27-0.05108347366624.pdf*VE5KN6XUSnfWQaen
Class - 03 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-28-0.7325765763623973.pdf*3JUunM994VhArDmd
Class - 04 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-04-29-0.9956904848147129.pdf*CAWLzs7BmHctPb3e
Class - 05 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-04-30-0.11206168764523483.pdf*d0KtbChzwmFqpKTu
Class - 06 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-01-0.7480288808635104.pdf*GScLGIZZp10aaQY9
Class - 07 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-02-0.42458550162147546.pdf*dQYrwJC6Dg0C0Hn5
Class - 08 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-06-0.4046138907921316.pdf*kceXLuB1RrvbhbHc
Class - 09 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-09-0.6481756284320459.pdf*hK74neNOpckxQzxD
Class - 10 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-08-0.33120554836647387.pdf*FbxdCl3uForNykmD
Class - 11 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-09-0.8831594806514104.pdf*hTVR3IlQMD48pULI
Class - 12 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-12-0.9645025710019232.pdf*tyDt6WwR961KOqfl
Class - 13 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-13-0.41757088549973087.pdf*8ZvUz6ybbis1nCJ2
Class - 14 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-14-0.9533705734142214.pdf*mdCKHawnOlOXkyoj
Class - 15 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-15-0.9099154754951605.pdf*UgdqXGfOMurhpa93
Class - 16 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-16-0.356710286596289.pdf*1PXy8j21ilVb2DnR
Class - 17 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-19-0.8581675333984882.pdf
Class - 18 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-20-0.1953162808924801.pdf
Class - 19 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-21-0.7096227904391309.pdf
Class - 20 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-22-0.47616530687100367.pdf
Class - 21 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-23-0.3410773574103697.pdf
Class - 22 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-26-0.07784100898871082.pdf
Class - 23 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-27-0.9203666991230189.pdf
Class - 24 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-28-0.28717561842270733.pdf
Class - 25 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-29-0.10831845646317662.pdf
Class - 26 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-05-30-0.14686566618931163.pdf
Class - 27 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-02-0.09107492069121204.pdf
Class - 28 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-03-0.37357483658134205.pdf
Class - 29 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-04-0.8964129103462749.pdf
Class -30 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-05-0.8657979659681796.pdf
Class -31 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-06-0.5897692097266279.pdf
Class -32 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-09-0.04116673650703706.pdf
Class -33 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-10-0.03253391579496068.pdf
Class -34 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-11-0.8845843332778925.pdf
Class -35 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-12-0.8221400714197316.pdf
Class -36 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-13-0.6154845062706679.pdf
Class -37 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-16-0.37120582150492054.pdf
Class -38 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.4157710502654913.pdf
Class -39 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.40380567244371446.pdf
Class -40 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-19-0.5383549689783822.pdf
Class -41 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-20-0.3900961417852842.pdf
Class -42 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-21-0.2404998531689838.pdf
Class -43 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-23-0.6247942318559649.pdf
Class -44 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-24-0.7943233235619893.pdf
Class -45 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-25-0.8133438542130669.pdf
Class -46 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-26-0.48128105213727823.pdf
Class -47 | GK & GS | Akshay Sir : https://appx-content-v2.classx.co.in/subject/2025-06-27-0.22874824887751455.pdf
Class - 01 | Basic Grammar | Sanjeev Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-28-0.5816986160639345.pdf*mcBSkGCaLqWuWVhj
Class - 02 | Basic Grammar | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-05-0.4134127160714802.pdf*uRsV3HHIGlbfEHqP
Class - 03 | Basic Grammar | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-06-0.7173411211801488.pdf*kaC3dHhXuNkq0yVq
Class - 04 | Basic Grammar | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-08-0.7724523168660675.pdf*1BPlNWrlM2DhvEaR
Class - 05 | Subject Verb Agreement | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-11-0.6482125927743416.pdf*577UyBZZVQP15Vp2
Class - 06 | Subject Verb Agreement | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-13-0.06979450292069322.pdf*JnxLWiZMssVanxBs
Class - 07 | Subject Verb Agreement | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-13-0.26126891097165295.pdf*eclbTzSOCJk54XXu
Class - 08 | Subject Verb Agreement | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-20-0.9703943644213314.pdf
Class - 09  | Article | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-27-0.46318835291299953.pdf
Class - 10 | Article | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-29-0.9430211993528198.pdf
Class - 11 | Conjunction | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-02-0.949220792441789.pdf
Class - 12 | Conjunction | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-04-0.6429006584832355.pdf
Class - 13 | Conjunction | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-05-0.6885740339404388.pdf
Class - 14 | Conjunction | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-11-0.602423122815113.pdf
Class - 15 | Noun | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.5513587374718125.pdf
Class - 16 | Noun | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.21336325550367674.pdf
Class - 17 | Noun | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-24-0.5383017190746189.pdf
Class - 18 | Preposition | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-25-0.8269083778465571.pdf
Class - 19 | Preposition | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-26-0.8141363855608975.pdf
Class - 01 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-26-0.40052704304126596.pdf*OG06mgoyq2r3P3mG
Class - 01 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-19-0.9707100440187908.pdf*vKBZM66CcTk6GOsh
Class - 02 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-27-0.011314568030581507.pdf*N3U1qyNQ6taF2KJ8
Class - 02 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-19-0.7176622315422833.pdf*PXQGhs4KmHjYTndD
Class - 03 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-04-29-0.7705921457649704.pdf*IgGQnmooeZxfsmFA
Class - 03 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-22-0.6250747186242739.pdf*QOgculBvEGahP8zm
Class - 04 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-14-0.8564959326557222.pdf*5aNkqWXmAbAqPxZo
Class - 04 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-23-0.4776345631857689.pdf*YZkdqaKHkIhgaTdJ
Class - 05 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-16-0.33685928574178703.pdf*XUYvIKqrAdSIt3yO
Class - 05 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-26-0.022932306998954766.pdf
Class - 06 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-19-0.9691751598448693.pdf
Class - 06 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-28-0.23512772961316786.pdf
Class - 07 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-23-0.5617978249410852.pdf
Class - 07 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-30-0.0767858019294898.pdf
Class - 08 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-05-26-0.9128227502062651.pdf
Class - 08 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-02-0.8531358033265474.pdf
Class - 09 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-09-0.43417960361516916.pdf
Class - 09 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.9269318650707398.pdf
Class - 10 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-10-0.7819934329799257.pdf
Class - 10 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.9112584180400966.pdf
Class - 11 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-12-0.41120668693253604.pdf
Class - 11 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-19-0.8109965799039791.pdf
Class - 12 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-13-0.9613400162031769.pdf
Class - 12 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.15543042453196054.pdf
Class - 13 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-16-0.06356600598104478.pdf
Class - 13 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.9899986499842228.pdf
Class - 14 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-22-0.8626812740939979.pdf
Class - 15 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-23-0.41257731415614074.pdf
Class - 15 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-26-0.18915609571418557.pdf
Class - 16 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-24-0.5643351488582744.pdf
Class - 16 | Vocabulary | Sanjeev Sir : https://appx-content-v2.classx.co.in/subject/2025-06-26-0.36713923358689027.pdf
BASIC GRAMMAR NOTES : https://appx-content-v2.classx.co.in/subject/2025-05-06-0.1257920679825003.pdf*ZWD7Bikuklnido9H
SUBJECT VERB AGREEMENT NOTES : https://appx-content-v2.classx.co.in/paid_course4/2025-05-08-0.16734321128366103.pdf*aujCQIpI6MNuvvjI
SUBJECT VERB AGREEMENT NOTES - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-05-19-0.35628564069617896.pdf
SUBJECT VERB AGREEMENT PDF - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-05-20-0.6399469097331872.pdf
ARTICLE UPDATE NOTES PDF : https://appx-content-v2.classx.co.in/paid_course4/2025-05-27-0.43094507426029893.pdf
ARTICLE UPDATE NOTES PDF - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-05-30-0.6121949478693092.pdf
CONJUNCTION NOTES PDF : https://appx-content-v2.classx.co.in/paid_course4/2025-06-02-0.7653707831386545.pdf
NOUN NOTES - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-17-0.6379812907534396.pdf
NOUN NOTES - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.14715343480887677.pdf
NOUN PDF - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.26734283902833733.pdf
PREPOSITION NOTES - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-24-0.7198254367865192.pdf
ANTONYM SET - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-11-0.3998914401691228.pdf
IDIOMS SET - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-11-0.9895123238541425.pdf
ONE WORD SET - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-11-0.9320633868025838.pdf
SPELLING SET - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-11-0.05332316588368624.pdf
SYNONYMS SET - 01 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-11-0.18994676303065228.pdf
ANTONYM SET - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-12-0.9661624469421817.pdf
IDIOMS SET - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-12-0.4197075659057886.pdf
ONE WORD SET - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-12-0.2749062643891491.pdf
SPELLING SET - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-12-0.4394969011430607.pdf
SYNONYMS SET - 02 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-12-0.3669674385571625.pdf
ANTONYM SET - 03 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-13-0.3575049637234585.pdf
IDIOMS SET - 03 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-13-0.02243110357554412.pdf
ONE WORD SET - 03 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-13-0.37445870175856566.pdf
SPELLING SET - 03 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-13-0.6025092654813196.pdf
SYNONYMS SET - 03 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-13-0.9204123454332738.pdf
ANTONYM SET - 04 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-16-0.9127100707059711.pdf
IDIOMS SET - 04 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-16-0.2751006947950466.pdf
ONE WORD SET - 04 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-16-0.539410299630129.pdf
SPELLING SET - 04 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-16-0.11772031419585138.pdf
SYNONYMS SET - 04 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-16-0.29884335901677084.pdf
ANTONYM SET - 05 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-17-0.9739587414401285.pdf
IDIOMS SET - 05 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-17-0.9934518165762259.pdf
ONE WORD SET - 05 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-17-0.7624419052440184.pdf
SPELLING SET - 05 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-17-0.3230617611006912.pdf
SYNONYMS SET - 05 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-17-0.9792449025994223.pdf
ANTONYM SET - 06 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.8903770530112138.pdf
ANTONYM SET - 07 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.429280455618928.pdf
ANTONYM SET - 08 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.5835781151610543.pdf
ANTONYM SET - 09 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.0733474237568108.pdf
ANTONYM SET - 10 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.6209231679963961.pdf
